"","file","kw","kw.sub","ref"
"571","Parkinson, 1993. Knowing Standard Arabic - testing Egyptians’ MSA abilities.md","Arabic","Standard","Parkinson (1993)"
"572","Parkinson, 1993. Knowing Standard Arabic - testing Egyptians’ MSA abilities.md","icraab",NA,"Parkinson (1993)"
"573","Parkinson, 1993. Knowing Standard Arabic - testing Egyptians’ MSA abilities.md","speech",NA,"Parkinson (1993)"
"574","Parkinson, 1994. Speaking Fusha in Cairo - the role of the ending vowels.md","Arabic","Standard","Parkinson (1994)"
"575","Parkinson, 1994. Speaking Fusha in Cairo - the role of the ending vowels.md","icraab",NA,"Parkinson (1994)"
"576","Parkinson, 1994. Speaking Fusha in Cairo - the role of the ending vowels.md","speech",NA,"Parkinson (1994)"
"577","Parkinson, 1994. Testing Native Speakers - Implications for Teaching Arabic to Non-Native Speakers.md","Arabic","Standard","Parkinson (1994)"
"578","Parkinson, 1994. Testing Native Speakers - Implications for Teaching Arabic to Non-Native Speakers.md","icraab",NA,"Parkinson (1994)"
"579","Parkinson, 1994. Testing Native Speakers - Implications for Teaching Arabic to Non-Native Speakers.md","language-instruction",NA,"Parkinson (1994)"
"580","Parkinson, 1994. Testing Native Speakers - Implications for Teaching Arabic to Non-Native Speakers.md","SLA",NA,"Parkinson (1994)"
"581","Parkinson, 1996. Variability in Standard Arabic Grammar Skills.md","icraab",NA,"Parkinson (1996)"
"582","Parkinson, 1996. Variability in Standard Arabic Grammar Skills.md","Arabic","Standard","Parkinson (1996)"
"583","Parkinson, 1999. Testing lexical differences.md","Arabic",NA,"Parkinson (1999)"
"584","Parkinson, 1999. Testing lexical differences.md","corpus-linguistics",NA,"Parkinson (1999)"
"585","Parkinson, 1999. Testing lexical differences.md","lexicon",NA,"Parkinson (1999)"
"586","Parkinson, 2003. Verbal features in oral Fusha performances in Cairo.md","Arabic","Standard","Parkinson (2003)"
"587","Parkinson, 2003. Verbal features in oral Fusha performances in Cairo.md","speech",NA,"Parkinson (2003)"
"588","Pearlmutter, 1999. Agreement processes in sentence comprehension.md","English",NA,"Pearlmutter (1999)"
"589","Pearlmutter, 1999. Agreement processes in sentence comprehension.md","eye-tracking",NA,"Pearlmutter (1999)"
"590","Pearlmutter, 1999. Agreement processes in sentence comprehension.md","reading",NA,"Pearlmutter (1999)"
"591","Pearlmutter, 1999. Agreement processes in sentence comprehension.md","syntax",NA,"Pearlmutter (1999)"
"592","Perea, 2010. The search for an input-coding scheme.md","reading",NA,"Perea (2010)"
"593","Perea, 2010. The search for an input-coding scheme.md","Arabic",NA,"Perea (2010)"
"594","Perea, 2010. The search for an input-coding scheme.md","eye-tracking",NA,"Perea (2010)"
"595","Peter, 1985. Language Segmentation - operating principles for the perception and analysis of language.md","speech",NA,"Peter (1985)"
"596","Peter, 1985. Language Segmentation - operating principles for the perception and analysis of language.md","prosody",NA,"Peter (1985)"
"597","Pintrich, 2007. Student motivation and self-regulated learning in the collage classroom.md","pedagogy",NA,"Pintrich (2007)"
"598","Pintrich, 2007. Student motivation and self-regulated learning in the collage classroom.md","review-article",NA,"Pintrich (2007)"
"599","Pollatsek, 1981. Assymetries in the perceptual span for Israeli readers.md","reading",NA,"Pollatsek (1981)"
"600","Pollatsek, 1981. Assymetries in the perceptual span for Israeli readers.md","eye-tracking",NA,"Pollatsek (1981)"
"601","Procházka, 2006. Prepositions.md","Arabic","Standard","Procházka (2006)"
"602","Procházka, 2006. Prepositions.md","ALT",NA,"Procházka (2006)"
"603","Procházka, 2006. Prepositions.md","syntax",NA,"Procházka (2006)"
"604","Raney, 2014. Using eye movements to evaluate cognitive processes.md","eye-tracking",NA,"Raney (2014)"
"605","Raney, 2014. Using eye movements to evaluate cognitive processes.md","reading",NA,"Raney (2014)"
"606","Rayner, 1994. Regressive eye movemements and sentence parsing.md","eye-tracking",NA,"Rayner (1994)"
"607","Rayner, 1994. Regressive eye movemements and sentence parsing.md","syntax",NA,"Rayner (1994)"
"608","Rayner, 1994. Regressive eye movemements and sentence parsing.md","reading",NA,"Rayner (1994)"
"609","Rayner, 1998. Eye movements in reading and information processing.md","eye-tracking",NA,"Rayner (1998)"
"610","Rayner, 1998. Eye movements in reading and information processing.md","reading",NA,"Rayner (1998)"
"611","Rayner, 1998. Eye movements in reading and information processing.md","review-article",NA,"Rayner (1998)"
"612","Rayner, 2004. The Effect of Plausability on Eye Movements in reading.md","eye-tracking",NA,"Rayner (2004)"
"613","Rayner, 2004. The Effect of Plausability on Eye Movements in reading.md","reading",NA,"Rayner (2004)"
"614","Rayner, 2009. Eye movements and attention in reading, scene perception, and visual search.md","eye-tracking",NA,"Rayner (2009)"
"615","Rayner, 2009. Eye movements and attention in reading, scene perception, and visual search.md","reading",NA,"Rayner (2009)"
"616","Rayner, 2009. Eye movements and attention in reading, scene perception, and visual search.md","review-article",NA,"Rayner (2009)"
"617","Rayner, 2012. Psychology of reading.md","reading",NA,"Rayner (2012)"
"618","Rayner, 2012. Psychology of reading.md","textbook",NA,"Rayner (2012)"
"619","Rayner, 2012. Psychology of reading.md","eye-tracking",NA,"Rayner (2012)"
"620","Ricento, 2006. Language Policy - Theory and Practice - An introduction.md","language-ideology",NA,"Ricento (2006)"
"621","Rogers, 2015. Writing systems.md","reading",NA,"Rogers (2015)"
"622","Rogers, 2015. Writing systems.md","textbook",NA,"Rogers (2015)"
"623","Roman, 1987. A Comparative Study - How We Read in Arabic and French.md","reading",NA,"Roman (1987)"
"624","Roman, 1987. A Comparative Study - How We Read in Arabic and French.md","Arabic",NA,"Roman (1987)"
"625","Roman, 1987. A Comparative Study - How We Read in Arabic and French.md","orthography",NA,"Roman (1987)"
"626","Roman, 1987. A Comparative Study - How We Read in Arabic and French.md","eye-tracking",NA,"Roman (1987)"
"627","Rosenbaum, 2000. ”Fushammiyya” - Alternating Style in Egyptian Prose.md","Arabic",NA,"Rosenbaum (2000)"
"628","Rosenbaum, 2000. ”Fushammiyya” - Alternating Style in Egyptian Prose.md","writing",NA,"Rosenbaum (2000)"
"629","Rouchdy, 2002. Language conflict and identity.md","Arabic",NA,"Rouchdy (2002)"
"630","Rouchdy, 2002. Language conflict and identity.md","code-switching",NA,"Rouchdy (2002)"
"631","Rouchdy, 2002. Language conflict and identity.md","speech",NA,"Rouchdy (2002)"
"632","Rouder, 2009. Bayesian t tests for accepting and rejecting the null hypothesis.md","statistics",NA,"Rouder (2009)"
"633","Rubenstein, 1995. On Case Errors Made in Oral Speech by American Learners of Russian.md","case",NA,"Rubenstein (1995)"
"634","Rubenstein, 1995. On Case Errors Made in Oral Speech by American Learners of Russian.md","syntax",NA,"Rubenstein (1995)"
"635","Rubenstein, 1995. On Case Errors Made in Oral Speech by American Learners of Russian.md","SLA",NA,"Rubenstein (1995)"
"636","Ryding, 1991. Proficiency Despite Diglossia - A New Approach For Arabic.md","Arabic",NA,"Ryding (1991)"
"637","Ryding, 1991. Proficiency Despite Diglossia - A New Approach For Arabic.md","diglossia",NA,"Ryding (1991)"
"638","Ryding, 1991. Proficiency Despite Diglossia - A New Approach For Arabic.md","language-instruction",NA,"Ryding (1991)"
"639","Ryding, 1991. Proficiency Despite Diglossia - A New Approach For Arabic.md","SLA",NA,"Ryding (1991)"
"640","Rätsö, 1993. ‘Iʿrāb in the forebearers of Modern Arabic Dialects.md","icraab",NA,"Rätsö (1993)"
"641","Rätsö, 1993. ‘Iʿrāb in the forebearers of Modern Arabic Dialects.md","Arabic",NA,"Rätsö (1993)"
"642","Rätsö, 1993. ‘Iʿrāb in the forebearers of Modern Arabic Dialects.md","historical-linguistics",NA,"Rätsö (1993)"
"643","Rätsö, 2010. Status – eine vernachlässigte Kategorie der arabischen Grammatik?.md","Arabic",NA,"Rätsö (2010)"
"644","Rätsö, 2010. Status – eine vernachlässigte Kategorie der arabischen Grammatik?.md","syntax",NA,"Rätsö (2010)"
"645","Sadan, 2015. SIbawayhi’s and later grammarians’ usage of ḥadīṯs as a grammatical tool.md","Arabic",NA,"Sadan (2015)"
"646","Sadan, 2015. SIbawayhi’s and later grammarians’ usage of ḥadīṯs as a grammatical tool.md","ALT",NA,"Sadan (2015)"
"647","Saiegh-Haddad, 2014. Acquiring Literacy in a Diglossic Context - Problems and Prospects.md","SLA",NA,"Saiegh-Haddad (2014)"
"648","Saiegh-Haddad, 2014. Acquiring Literacy in a Diglossic Context - Problems and Prospects.md","literacy",NA,"Saiegh-Haddad (2014)"
"649","Saiegh-Haddad, 2014. Acquiring Literacy in a Diglossic Context - Problems and Prospects.md","diglossia",NA,"Saiegh-Haddad (2014)"
"650","Saiegh-Haddad, 2014. Acquiring Literacy in a Diglossic Context - Problems and Prospects.md","Arabic",NA,"Saiegh-Haddad (2014)"
"651","Saiegh-Haddad, 2016. The Impact of Diglossia on Voweled and Unvoweled Word Reading in Arabic.md","Arabic",NA,"Saiegh-Haddad (2016)"
"652","Saiegh-Haddad, 2016. The Impact of Diglossia on Voweled and Unvoweled Word Reading in Arabic.md","diglossia",NA,"Saiegh-Haddad (2016)"
"653","Saiegh-Haddad, 2016. The Impact of Diglossia on Voweled and Unvoweled Word Reading in Arabic.md","SLA",NA,"Saiegh-Haddad (2016)"
"654","Saiegh-Haddad, 2016. The Impact of Diglossia on Voweled and Unvoweled Word Reading in Arabic.md","reading",NA,"Saiegh-Haddad (2016)"
"655","Saiegh-Haddad, 2016. The Impact of Diglossia on Voweled and Unvoweled Word Reading in Arabic.md","orthography",NA,"Saiegh-Haddad (2016)"
"656","Saiegh-Haddad, 2016. The Impact of Diglossia on Voweled and Unvoweled Word Reading in Arabic.md","icraab",NA,"Saiegh-Haddad (2016)"
"657","Salib, 1979. Spoken Literary Arabic.md","Arabic","Standard","Salib (1979)"
"658","Salib, 1979. Spoken Literary Arabic.md","speech",NA,"Salib (1979)"
"659","Scherre, 2006. Speech Community.md","standard-language",NA,"Scherre (2006)"
"660","Schmidth, 1977. Standard and Super-Standard English.md","English",NA,"Schmidth (1977)"
"661","Schmidth, 1977. Standard and Super-Standard English.md","standard-language",NA,"Schmidth (1977)"
"662","Schmidth, 1977. Standard and Super-Standard English.md","syntax",NA,"Schmidth (1977)"
"663","Schulthies, 2014. Do you speak Arabic? Managing axes of adequation and difference in pan-Arab talent programs.md","language-ideology",NA,"Schulthies (2014)"
"664","Schulthies, 2014. Do you speak Arabic? Managing axes of adequation and difference in pan-Arab talent programs.md","Arabic",NA,"Schulthies (2014)"
"665","Schulz, 1981. Diglossia and variation in formal spoken Arabic in Egypt.md","phonology",NA,"Schulz (1981)"
"666","Schulz, 1981. Diglossia and variation in formal spoken Arabic in Egypt.md","icraab",NA,"Schulz (1981)"
"667","Schulz, 1981. Diglossia and variation in formal spoken Arabic in Egypt.md","syntax",NA,"Schulz (1981)"
"668","Schulz, 1981. Diglossia and variation in formal spoken Arabic in Egypt.md","Arabic","Standard","Schulz (1981)"
"669","Schulz, 1981. Diglossia and variation in formal spoken Arabic in Egypt.md","speech",NA,"Schulz (1981)"
"670","Schulz, 1981. Diglossia and variation in formal spoken Arabic in Egypt.md","corpus-linguistics",NA,"Schulz (1981)"
"671","Shaaban, 2006. Language policies and language planning.md","Arabic",NA,"Shaaban (2006)"
"672","Shaaban, 2006. Language policies and language planning.md","diglossia",NA,"Shaaban (2006)"
"673","Shaaban, 2006. Language policies and language planning.md","language-planning",NA,"Shaaban (2006)"
"674","Shaaban, 2006. Language policies and language planning.md","FLA",NA,"Shaaban (2006)"
"675","Shaub, 2000. Enghlish in the Arabic Republic of Egypt.md","Arabic",NA,"Shaub (2000)"
"676","Shaub, 2000. Enghlish in the Arabic Republic of Egypt.md","English",NA,"Shaub (2000)"
"677","Shaub, 2000. Enghlish in the Arabic Republic of Egypt.md","Egypt",NA,"Shaub (2000)"
"678","Shohat, 2017. The Invention of Judeo-Arabic.md","Arabic","Judeo","Shohat (2017)"
"679","Shohat, 2017. The Invention of Judeo-Arabic.md","language-ideology",NA,"Shohat (2017)"
"680","Slattery, 2013. Effects of intraword and interword spacing on eye movements during reading.md","eye-tracking",NA,"Slattery (2013)"
"681","Slattery, 2013. Effects of intraword and interword spacing on eye movements during reading.md","reading",NA,"Slattery (2013)"
"682","Slattery, 2013. Effects of intraword and interword spacing on eye movements during reading.md","typography",NA,"Slattery (2013)"
"683","Snow, 2013. Revisiting Ferguson’s defining cases of diglossia.md","diglossia",NA,"Snow (2013)"
"684","Staub, 2007. Eye Movements and on-line comprehension processes.md","eye-tracking",NA,"Staub (2007)"
"685","Staub, 2007. Eye Movements and on-line comprehension processes.md","reading",NA,"Staub (2007)"
"686","Staub, 2007. Eye Movements and on-line comprehension processes.md","review-article",NA,"Staub (2007)"
"687","Stetkevych, 2006. The Modern Arabic Literary Language - Lexical and Stylistic Developments.md","Arabic","Standard","Stetkevych (2006)"
"688","Stetkevych, 2006. The Modern Arabic Literary Language - Lexical and Stylistic Developments.md","icraab",NA,"Stetkevych (2006)"
"689","Stetkevych, 2006. The Modern Arabic Literary Language - Lexical and Stylistic Developments.md","language-planning",NA,"Stetkevych (2006)"
"690","Stewart, 1996. Root-echo responses in Egyptian Arabic politeness formulae.md","Arabic","Egyptian","Stewart (1996)"
"691","Stewart, 1996. Root-echo responses in Egyptian Arabic politeness formulae.md","pragmatics",NA,"Stewart (1996)"
"692","Stewart, 1997. Impoliteness formulae.md","pragmatics",NA,"Stewart (1997)"
"693","Stewart, 1997. Impoliteness formulae.md","Arabic","Egyptian","Stewart (1997)"
"694","Strukelj, 2018. One page of text.md","eye-tracking",NA,"Strukelj (2018)"
"695","Strukelj, 2018. One page of text.md","reading",NA,"Strukelj (2018)"
"696","Suleiman, 1989. On the Underlying Foundations of Arabic Grammar - A Prelimenary Investigation.md","Arabic",NA,"Suleiman (1989)"
"697","Suleiman, 1989. On the Underlying Foundations of Arabic Grammar - A Prelimenary Investigation.md","ALT",NA,"Suleiman (1989)"
"698","Suleiman, 1996. The Simplification of Arabic Grammar and the Problematic Nature of the Sources.md","Arabic","Standard","Suleiman (1996)"
"699","Suleiman, 1996. The Simplification of Arabic Grammar and the Problematic Nature of the Sources.md","ALT",NA,"Suleiman (1996)"
"700","Suleiman, 1996. The Simplification of Arabic Grammar and the Problematic Nature of the Sources.md","language-ideology",NA,"Suleiman (1996)"
"701","Suleiman, 1996. The Simplification of Arabic Grammar and the Problematic Nature of the Sources.md","language-planning",NA,"Suleiman (1996)"
"702","Suleiman, 1999. Language Education Policy—Arabic Speaking Countries.md","Arabic","Standard","Suleiman (1999)"
"703","Suleiman, 1999. Language Education Policy—Arabic Speaking Countries.md","language-planning",NA,"Suleiman (1999)"
"704","Suleiman, 2003. The Arabic language and national identity - a study in ideology.md","Arabic",NA,"Suleiman (2003)"
"705","Suleiman, 2003. The Arabic language and national identity - a study in ideology.md","language-ideology",NA,"Suleiman (2003)"
"706","Suleiman, 2006. Arabic language reform, language ideology and the criminalization of Sībawayhi.md","Arabic",NA,"Suleiman (2006)"
"707","Suleiman, 2006. Arabic language reform, language ideology and the criminalization of Sībawayhi.md","language-ideology",NA,"Suleiman (2006)"
"708","Suleiman, 2011. Ideology, grammar-making and the standardization of Arabic.md","Arabic",NA,"Suleiman (2011)"
"709","Suleiman, 2011. Ideology, grammar-making and the standardization of Arabic.md","ALT",NA,"Suleiman (2011)"
"710","Suleiman, 2011. Ideology, grammar-making and the standardization of Arabic.md","language-ideology",NA,"Suleiman (2011)"
"711","Suleiman, 2011. Ideology, grammar-making and the standardization of Arabic.md","standard-language",NA,"Suleiman (2011)"
"712","Suleiman, 2012. Debating Arabic on Al-Jazeera.md","Arabic",NA,"Suleiman (2012)"
"713","Suleiman, 2012. Debating Arabic on Al-Jazeera.md","language-ideology",NA,"Suleiman (2012)"
"714","Suleiman, 2013. Arabic Folk Linguistics.md","Arabic",NA,"Suleiman (2013)"
"715","Suleiman, 2013. Arabic Folk Linguistics.md","diglossia",NA,"Suleiman (2013)"
"716","Suleiman, 2013. Arabic Folk Linguistics.md","language-ideology",NA,"Suleiman (2013)"
"717","Suleiman, 2014. Arab(ic) languge anxiety.md","Arabic",NA,"Suleiman (2014)"
"718","Suleiman, 2014. Arab(ic) languge anxiety.md","language-ideology",NA,"Suleiman (2014)"
"719","Teleman, 1979. Språkrätt - om skolans språknormer och samhällets.md","language-ideology",NA,"Teleman (1979)"
"720","Teleman, 1979. Språkrätt - om skolans språknormer och samhällets.md","Swedish",NA,"Teleman (1979)"
"721","Toll, 2005. The Translation of the Koran into Swedish.md","Swedish",NA,"Toll (2005)"
"722","Toll, 2005. The Translation of the Koran into Swedish.md","quran",NA,"Toll (2005)"
"723","Trudgill, 1975. Accent, dialect and the school.md","standard-language",NA,"Trudgill (1975)"
"724","Trudgill, 1975. Accent, dialect and the school.md","English",NA,"Trudgill (1975)"
"725","Trudgill, 1975. Accent, dialect and the school.md","language-ideology",NA,"Trudgill (1975)"
"726","Trudgill, 1975. Accent, dialect and the school.md","language-instruction",NA,"Trudgill (1975)"
"727","Trudgill, 1975. Accent, dialect and the school.md","FLA",NA,"Trudgill (1975)"
"728","Trudgill, 1979. Standard and Non-Standard Dialects of English and the United Kingdom - Problems and Policies.md","standard-language",NA,"Trudgill (1979)"
"729","Trudgill, 1979. Standard and Non-Standard Dialects of English and the United Kingdom - Problems and Policies.md","language-instruction",NA,"Trudgill (1979)"
"730","Trudgill, 1979. Standard and Non-Standard Dialects of English and the United Kingdom - Problems and Policies.md","FLA",NA,"Trudgill (1979)"
"731","Trudgill, 1979. Standard and Non-Standard Dialects of English and the United Kingdom - Problems and Policies.md","English",NA,"Trudgill (1979)"
"732","Trudgill, 1999. Standard English - what it isn’t.md","standard-language",NA,"Trudgill (1999)"
"733","Trudgill, 1999. Standard English - what it isn’t.md","English",NA,"Trudgill (1999)"
"734","Uhlmann, 2012. Arabs and Arabic grammar instruction.md","language-instruction",NA,"Uhlmann (2012)"
"735","Uhlmann, 2012. Arabs and Arabic grammar instruction.md","FLA",NA,"Uhlmann (2012)"
"736","Uhlmann, 2012. Arabs and Arabic grammar instruction.md","Israel",NA,"Uhlmann (2012)"
"737","Uhlmann, 2012. Arabs and Arabic grammar instruction.md","icraab",NA,"Uhlmann (2012)"
"738","Uhlmann, 2012. Arabs and Arabic grammar instruction.md","ALT",NA,"Uhlmann (2012)"
"739","Uhlmann, 2012. Arabs and Arabic grammar instruction.md","Arabic",NA,"Uhlmann (2012)"
"740","Uhlmann, 2017. Arabic Instruction in Israel.md","Israel",NA,"Uhlmann (2017)"
"741","Uhlmann, 2017. Arabic Instruction in Israel.md","Arabic",NA,"Uhlmann (2017)"
"742","Uhlmann, 2017. Arabic Instruction in Israel.md","ALT",NA,"Uhlmann (2017)"
"743","Uhlmann, 2017. Arabic Instruction in Israel.md","language-instruction",NA,"Uhlmann (2017)"
"744","Uhlmann, 2017. Arabic Instruction in Israel.md","FLA",NA,"Uhlmann (2017)"
"745","Uhlmann, 2017. Arabic Instruction in Israel.md","SLA",NA,"Uhlmann (2017)"
"746","Uhlmann, 2017. Arabic Instruction in Israel.md","language-ideology",NA,"Uhlmann (2017)"
"747","Van Mol, 2003. Variation in Modern Standard Arabic in Radio News Broadcasts.md","Arabic","Standard","Van Mol (2003)"
"748","Van Mol, 2003. Variation in Modern Standard Arabic in Radio News Broadcasts.md","lexicon",NA,"Van Mol (2003)"
"749","Van Mol, 2003. Variation in Modern Standard Arabic in Radio News Broadcasts.md","corpus-linguistics",NA,"Van Mol (2003)"
"750","Vermunt, 1988. Analysis and development of students’ skill in selfregulated learning.md","pedagogy",NA,"Vermunt (1988)"
"751","Versteegh, 1983. Arabic grammar and the corruption of speech.md","Arabic",NA,"Versteegh (1983)"
"752","Versteegh, 1983. Arabic grammar and the corruption of speech.md","ALT",NA,"Versteegh (1983)"
"753","Versteegh, 1983. Arabic grammar and the corruption of speech.md","icraab",NA,"Versteegh (1983)"
"754","Versteegh, 2001. The Arabic Language.md","Arabic",NA,"Versteegh (2001)"
"755","Versteegh, 2001. The Arabic Language.md","textbook",NA,"Versteegh (2001)"
"756","Versteegh, 2004. From Classical Arabic to the Modern Vernaculars.md","Arabic",NA,"Versteegh (2004)"
"757","Versteegh, 2004. From Classical Arabic to the Modern Vernaculars.md","morphology",NA,"Versteegh (2004)"
"758","Versteegh, 2006. Hisotry of Arabic Language Teaching.md","historical-linguistics",NA,"Versteegh (2006)"
"759","Versteegh, 2006. Hisotry of Arabic Language Teaching.md","language-instruction",NA,"Versteegh (2006)"
"760","Versteegh, 2006. Hisotry of Arabic Language Teaching.md","SLA",NA,"Versteegh (2006)"
"761","Versteegh, 2006. Hisotry of Arabic Language Teaching.md","FLA",NA,"Versteegh (2006)"
"762","Versteegh, 2006. Hisotry of Arabic Language Teaching.md","Arabic",NA,"Versteegh (2006)"
"763","Versteegh, 2011. Between Typology and Genealogy - The Classification of Arabic Varieties.md","Arabic",NA,"Versteegh (2011)"
"764","Versteegh, 2011. Between Typology and Genealogy - The Classification of Arabic Varieties.md","historical-linguistics",NA,"Versteegh (2011)"
"765","Versteegh, 2018. Learning Arabic in the Islamic World.md","language-instruction",NA,"Versteegh (2018)"
"766","Versteegh, 2018. Learning Arabic in the Islamic World.md","SLA",NA,"Versteegh (2018)"
"767","Versteegh, 2018. Learning Arabic in the Islamic World.md","FLA",NA,"Versteegh (2018)"
"768","Versteegh, 2018. Learning Arabic in the Islamic World.md","ALT",NA,"Versteegh (2018)"
"769","Versteegh, 2018. Learning Arabic in the Islamic World.md","Arabic",NA,"Versteegh (2018)"
"770","Wagner, 1983. Learning to read by ‘rote’.md","quran",NA,"Wagner (1983)"
"771","Wagner, 1983. Learning to read by ‘rote’.md","Arabic",NA,"Wagner (1983)"
"772","Wagner, 1983. Learning to read by ‘rote’.md","language-instruction",NA,"Wagner (1983)"
"773","Wagner, 1983. Learning to read by ‘rote’.md","FLA",NA,"Wagner (1983)"
"774","Wagner, 1983. Learning to read by ‘rote’.md","islamology",NA,"Wagner (1983)"
"775","Wahba, 2006. Arabic Language Use and the Educated Language User.md","Arabic",NA,"Wahba (2006)"
"776","Wahba, 2006. Arabic Language Use and the Educated Language User.md","diglossia",NA,"Wahba (2006)"
"777","Wahba, 2006. Arabic Language Use and the Educated Language User.md","language-instruction",NA,"Wahba (2006)"
"778","Wahba, 2006. Arabic Language Use and the Educated Language User.md","SLA",NA,"Wahba (2006)"
"779","Wahba, 2006. First Language Teaching.md","Arabic",NA,"Wahba (2006)"
"780","Wahba, 2006. First Language Teaching.md","diglossia",NA,"Wahba (2006)"
"781","Wahba, 2006. First Language Teaching.md","language-instruction",NA,"Wahba (2006)"
"782","Wahba, 2006. First Language Teaching.md","FLA",NA,"Wahba (2006)"
"783","Walters, 2003. Fergie’s prescience - the changing nature of diglossia in Tunisia.md","diglossia",NA,"Walters (2003)"
"784","Walters, 2003. Fergie’s prescience - the changing nature of diglossia in Tunisia.md","Arabic",NA,"Walters (2003)"
"785","Walters, 2003. Fergie’s prescience - the changing nature of diglossia in Tunisia.md","Tunisia",NA,"Walters (2003)"
"786","Wehr, 1943. Entwicklung und traditionelle Pflege der arabischen Schriftsprache in der Gegenwart.md","Arabic",NA,"Wehr (1943)"
"787","Wehr, 1943. Entwicklung und traditionelle Pflege der arabischen Schriftsprache in der Gegenwart.md","ALT",NA,"Wehr (1943)"
"788","Wehr, 1943. Entwicklung und traditionelle Pflege der arabischen Schriftsprache in der Gegenwart.md","standard-language",NA,"Wehr (1943)"
"789","Wehr, 1943. Entwicklung und traditionelle Pflege der arabischen Schriftsprache in der Gegenwart.md","language-ideology",NA,"Wehr (1943)"
"790","Weigelt, 2017. Einfurung in die arabische Grammatiktradition.md","Arabic",NA,"Weigelt (2017)"
"791","Weigelt, 2017. Einfurung in die arabische Grammatiktradition.md","ALT",NA,"Weigelt (2017)"
"792","Weigelt, 2017. Einfurung in die arabische Grammatiktradition.md","icraab",NA,"Weigelt (2017)"
"793","Woidich, 2007. Everything you always wanted to know about ‘aal, yi‘uul in Egyptian Arabic.md","Arabic","Egyptian","Woidich (2007)"
"794","Woidich, 2007. Everything you always wanted to know about ‘aal, yi‘uul in Egyptian Arabic.md","pragmatics",NA,"Woidich (2007)"
"795","Xalīfa, 2000. al-ʿarabiyya al-fuṣḥā bayn lahjātihā w-ʿāmmiyyātihā al-muxtalifa.md","Arabic",NA,"Xalīfa (2000)"
"796","Xalīfa, 2000. al-ʿarabiyya al-fuṣḥā bayn lahjātihā w-ʿāmmiyyātihā al-muxtalifa.md","diglossia",NA,"Xalīfa (2000)"
"797","Xalīfa, 2000. al-ʿarabiyya al-fuṣḥā bayn lahjātihā w-ʿāmmiyyātihā al-muxtalifa.md","language-ideology","primary-source","Xalīfa (2000)"
"798","Younes, 2014. The Integrated Approach to Arabic Instruction.md","icraab",NA,"Younes (2014)"
"799","Younes, 2014. The Integrated Approach to Arabic Instruction.md","diglossia",NA,"Younes (2014)"
"800","Younes, 2014. The Integrated Approach to Arabic Instruction.md","Arabic",NA,"Younes (2014)"
"801","Younes, 2014. The Integrated Approach to Arabic Instruction.md","language-instruction",NA,"Younes (2014)"
"802","Younes, 2014. The Integrated Approach to Arabic Instruction.md","SLA",NA,"Younes (2014)"
"803","Zaki, 2017. Corpus-based teaching in the Arabic classroom.md","corpus-linguistics",NA,"Zaki (2017)"
"804","Zaki, 2017. Corpus-based teaching in the Arabic classroom.md","Arabic",NA,"Zaki (2017)"
"805","Zaki, 2017. Corpus-based teaching in the Arabic classroom.md","language-instruction",NA,"Zaki (2017)"
"806","Zughoul, 1980. Diglossia in Arabic - investigating solutions.md","Arabic",NA,"Zughoul (1980)"
"807","Zughoul, 1980. Diglossia in Arabic - investigating solutions.md","diglossia",NA,"Zughoul (1980)"
"808","Zughoul, 1980. Diglossia in Arabic - investigating solutions.md","language-planning",NA,"Zughoul (1980)"
"809","al-Sharkawi, 2016. The Ecology of Case in Modern Standard Arabic.md","Arabic","Standard","al-Sharkawi (2016)"
"810","al-Sharkawi, 2016. The Ecology of Case in Modern Standard Arabic.md","ALT",NA,"al-Sharkawi (2016)"
"811","al-Sharkawi, 2016. The Ecology of Case in Modern Standard Arabic.md","icraab",NA,"al-Sharkawi (2016)"
"812","ʿAwda, 2015. al-Axṭāʾ al-luġawiyya fī al-iʿlānāt ar-rasmiyya wa-t-tijāriyya (al-asbāb wa-l-ḥulūl).md","Arabic",NA,"ʿAwda (2015)"
"813","ʿAwda, 2015. al-Axṭāʾ al-luġawiyya fī al-iʿlānāt ar-rasmiyya wa-t-tijāriyya (al-asbāb wa-l-ḥulūl).md","language-ideology","primary-source","ʿAwda (2015)"
"814","Ḍayf, 2000. bayn al-fuṣḥā wal-ʿāmmiyya.md","Arabic",NA,"Ḍayf (2000)"
"815","Ḍayf, 2000. bayn al-fuṣḥā wal-ʿāmmiyya.md","diglossia",NA,"Ḍayf (2000)"
"816","Ḍayf, 2000. bayn al-fuṣḥā wal-ʿāmmiyya.md","language-ideology","primary-source","Ḍayf (2000)"
